trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,6,-66.68576454345514,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",30,0,-151.82762334069287,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 4}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,6,-42.838881638594394,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-27.72184388311171,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-72.61653293051064,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",30,8,-74.4999105320293,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,3,-49.2301449784139,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-46.91826332319615,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,15,-23.543009367673875,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-97.35933071557754,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,0,-11.34541756464108,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",30,8,-47.24468072598097,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,19,12.831290631953859,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,1,-94.03930721466995,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 2}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,1,-90.32718811132875,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 2}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,9,1.8662505663436306,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
